plot,sec,tree,species,dbht0,cc,condt0,yeart0,xcoord,ycoord,zelev,elev0,markmanip,actualmanip,cond06,dam06,sprt06,notes1,notes06,dbh09,cond09,dam09,sprt09,notes09,hwa1b09,hwa2b09,dbh14,cond14,dam14,sprt14,vigor14,hwab114,hwab214,scale14,note14,dbh19,cond19,dam19,sprt19,vigor19,hwab119,hwab219,scale19,note19
1,C,504,TSCA,9.7,NA,D,2003,36.4,43.7,-2.79,50;40,girdle05,girdle05,D,SNAP,NA,NA,NO CROWN,NA,D,NA,NA,NA,NA,NA,NA,D,UPRT,NA,5,NA,NA,NA,decaying,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,505,TSCA,21.4,I,L,2003,32.5,44,-3.08,50;40,girdle05,girdle05,L,SNAP,NA,NA,ROLLED 3M FROM BASE; BEHIND TREE# 508,21.5,D,SNAP,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,506,TSCA,9.9,S,L,2003,31.8,43.5,-3.22,50;40,girdle05,girdle05,L,NA,NA,NA,NA,10.1,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,507,TSCA,12.3,S,L,2003,30.8,44.5,-3.17,50;40,girdle05,girdle05,L,NA,NA,NA,NA,12.9,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,508,TSCA,24,C,L,2003,36.2,47.8,-2.9,50;40,girdle05,girdle05,D,SNAP,NA,NA,LEANING ON TREE# 504,24.4,D,SNAP,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,509,TSCA,41.8,C,L,2003,35.1,50.1,-3.28,50;40,girdle05,girdle05,L,NA,NA,NA,NA,42.1,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,510,TSCA,15.8,NA,D,2003,40,51.1,-2.59,50;40,girdle05,girdle05,D,SNAP,NA,shares base with 511,NO CROWN,NA,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,511,TSCA,56.5,C,L,2003,40,51.1,-2.37,50;40,girdle05,girdle05,L,NA,NA,shares base with 510; forks; measured together,NA,57.7,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,512,TSCA,29,C,L,2003,30.1,51.7,-3.28,50;40,girdle05,girdle05,L,NA,NA,NA,NA,29.8,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,513,TSCA,43.8,D,L,2003,31.3,55.1,-3.5,50;40,girdle05,girdle05,L,NA,NA,NA,NA,44.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,514,TSCA,14.4,S,L,2003,33.9,55,-3.6,50;40,girdle05,girdle05,L,NA,NA,NA,NA,14.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,fallen
1,C,515,TSCA,16.6,S,L,2003,37.9,57,-3.54,50;40,girdle05,girdle05,L,NA,NA,NA,NA,17,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,on ground,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,516,QUAL,24.4,C,L,2003,36.8,57.6,-3.5,50;40,none,none,L,NA,NA,NA,NA,24.6,L,NA,NA,NA,NA,NA,25.9,L,NA,NA,NA,NA,NA,NA,NA,26.7,L,NA,NA,NA,NA,NA,NA,NA
1,C,517,TSCA,33,C,L,2003,43.4,31.2,1.09,50;40,girdle05,girdle05,L,NA,NA,NA,NA,33.7,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,518,TSCA,24.2,NA,D,2003,46.6,31.7,0.91,50;40,girdle05,none,D,NA,NA,NA,NOT GIRDLED,NA,D,NA,NA,NA,NA,NA,NA,D,LEAN,NA,5,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,519,TSCA,7.9,S,L,2003,49.6,34,0.5,50;40,girdle05,girdle05,D,NA,NA,NA,NA,7.9,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,520,TSCA,12,NA,D,2003,44.4,35.8,0.22,50;40,girdle05,none,D,NA,NA,shares base with 521,NOT GIRDLED,NA,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,SNAP,NA,5,NA,NA,NA,STANDING
1,C,521,TSCA,7.9,NA,D,2003,44.4,35.8,0.22,50;40,girdle05,none,D,NA,NA,shares base with 520,NOT GIRDLED,NA,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,522,PIST,21,S,L,2003,43,39.8,-0.77,50;40,none,none,D,NA,NA,next time use calipers,NA,20.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,top snap,NA,D,NA,NA,NA,NA,NA,NA,STANDING
1,C,523,TSCA,34.1,C,L,2003,43,40.1,-0.9,50;40,girdle05,girdle05,L,NA,NA,next time use calipers; shares base with 524,NA,34.4,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,fallen
1,C,524,TSCA,10.3,NA,D,2003,43,40.1,-0.9,50;40,girdle05,girdle05,D,NA,NA,shares base with 523,NA,10.8,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,525,TSCA,31.2,C,L,2003,43.1,41,-1.16,50;40,girdle05,girdle05,L,NA,NA,NA,NA,31.4,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,NO BARK
1,C,526,TSCA,15.6,S,L,2003,43.6,41.2,-0.83,50;40,girdle05,girdle05,D,NA,NA,NA,NA,15.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,NA
1,C,527,TSCA,13.3,NA,D,2003,43.8,41.8,-1.08,50;40,girdle05,none,D,NA,NA,top broken,NOT GIRDLED,NA,D,SNAP,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,NA,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,528,TSCA,25.2,I,L,2003,45.2,41.5,-0.41,50;40,girdle05,girdle05,L,NA,NA,NA,NA,25.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,529,TSCA,50.9,C,L,2003,47,41.8,-0.4,50;40,girdle05,girdle05,L,NA,NA,NA,NA,52.1,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,530,TSCA,14.2,S,L,2003,46.9,42.6,-0.46,50;40,girdle05,girdle05,D,NA,NA,NA,NA,14.2,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,SNAP,NA,5,NA,NA,NA,STANDING
